ano,unidade,nome_unidade_norm,demanda_efetiva_prevista,demanda_cenario_persistencia,demanda_p025_condicional,demanda_p975_condicional,status_em_2025,tipo_oferta,tipo_unidade,cre,microarea,bairro,latitude,longitude,matriculas_2025_proxy_capacidade,rede,capacity_concept,capacity_coverage,planning_gap,planning_gap_p025,planning_gap_p975,planning_gap_persistencia,gap_positivo
2026,06017,CP CRECHE JOAO E MARIA,202.96870661110196,174.06873176869365,116.38189338007368,311.369166473538,continuante,Parceira,Creche Parceira,6.0,6.6,GUADALUPE,-22.84816,-43.37781,46.0,parceira,matriculas_2025_proxy,True,156.96870661110196,70.38189338007368,265.369166473538,128.06873176869365,True
2026,04023,CP CENTRO CULTURAL EDUCAR - UNIDADE III,202.00314269579044,239.22869277137212,116.99204596088258,308.54595419341246,continuante,Parceira,Creche Parceira,4.0,4.12,BONSUCESSO,-22.86131112,-43.24694176,263.0,parceira,matriculas_2025_proxy,True,-60.996857304209556,-146.0079540391174,45.545954193412456,-23.771307228627876,False
2026,09027,CP INSTITUTO FRUTIFICAR,201.9744372803314,171.63152201483317,119.7809340239381,304.6980674308557,continuante,Parceira,Creche Parceira,9.0,9.13,COSMOS,-22.90722,-43.60736,94.0,parceira,matriculas_2025_proxy,True,107.97443728033139,25.7809340239381,210.6980674308557,77.63152201483317,True
2026,0716603,CM CRIANCA DO FUTURO,196.06373619223064,154.35376928687143,115.19914422368026,297.1700597327015,continuante,Pública,Creche,7.0,7.11,Jacarepaguá,-22.944254,-43.384456,52.0,publica,matriculas_2025_proxy,True,144.06373619223064,63.199144223680264,245.17005973270147,102.35376928687143,True
2026,0625816,EDI PROFESSORA REGINA CELI RABELO DE ALMEIDA,195.55306013543964,160.71105087256166,114.78673420259295,296.578802899519,continuante,Pública,EDI,6.0,6.1,Pavuna,-22.814742,-43.355257,63.0,publica,matriculas_2025_proxy,True,132.55306013543964,51.78673420259295,233.57880289951902,97.71105087256166,True
2026,0107610,CM ARARA AZUL,195.1091602866205,148.30024221923958,112.31513711294988,298.44110196643385,continuante,Pública,Creche,1.0,1.2,Benfica,-22.889247,-43.24211,100.0,publica,matriculas_2025_proxy,True,95.1091602866205,12.315137112949884,198.44110196643385,48.30024221923958,True
2026,03037,CP CRECHE FRUTOS DO AMANHA I,192.9524548842707,194.86966106487012,111.04497082497156,295.4924470872094,continuante,Parceira,Creche Parceira,3.0,3.19,INHAÚMA,-22.87367839,-43.28338169,172.0,parceira,matriculas_2025_proxy,True,20.952454884270708,-60.95502917502844,123.49244708720943,22.869661064870115,True
2026,04030,CP CRECHE VALE DO SOL II,189.65218320063855,206.1834770093295,109.8089752470062,289.6615697018225,continuante,Parceira,Creche Parceira,4.0,4.11,RAMOS,-22.85806396,-43.26002708,338.0,parceira,matriculas_2025_proxy,True,-148.34781679936145,-228.1910247529938,-48.338430298177514,-131.8165229906705,False
2026,0716822,EDI MARCELO PARENTE GOMES DE OLIVEIRA,189.41464916479816,136.63925903975218,111.76738294894623,286.4792075314062,continuante,Pública,EDI,7.0,7.18,Anil,-22.966022,-43.343186,94.0,publica,matriculas_2025_proxy,True,95.41464916479816,17.767382948946235,192.4792075314062,42.639259039752176,True
2026,06016,CP CRECHE NOSSO LAR II,187.1182341948964,162.00322217662074,106.64634797534966,287.8016670310744,continuante,Parceira,Creche Parceira,6.0,6.17,RICARDO DE ALBUQUERQUE,-22.83996,-43.398,179.0,parceira,matriculas_2025_proxy,True,8.118234194896388,-72.35365202465034,108.80166703107437,-16.99677782337926,True
