ano,unidade,grupamento_norm,ano_matricula,nome_unidade,matriculas_ano_anterior,rede,capacity_concept
2024,0103601,MATERNAL II,2023,CM ESPAÇO LIVRE DA CRIANÇA,0,publica,matriculas_ano_anterior_proxy
2024,0103602,BERCARIO,2023,CM DIREITOS HUMANOS,25,publica,matriculas_ano_anterior_proxy
2024,0103602,MATERNAL I,2023,CM DIREITOS HUMANOS,25,publica,matriculas_ano_anterior_proxy
2024,0103602,MATERNAL II,2023,CM DIREITOS HUMANOS,0,publica,matriculas_ano_anterior_proxy
2024,0103604,BERCARIO,2023,CM SONHO INFANTIL,25,publica,matriculas_ano_anterior_proxy
2024,0103604,MATERNAL I,2023,CM SONHO INFANTIL,23,publica,matriculas_ano_anterior_proxy
2024,0103604,MATERNAL II,2023,CM SONHO INFANTIL,0,publica,matriculas_ano_anterior_proxy
2024,0103605,BERCARIO,2023,CM BRINCADEIRAS DE CRIANÇA,25,publica,matriculas_ano_anterior_proxy
2024,0103605,MATERNAL I,2023,CM BRINCADEIRAS DE CRIANÇA,50,publica,matriculas_ano_anterior_proxy
2024,0103605,MATERNAL II,2023,CM BRINCADEIRAS DE CRIANÇA,0,publica,matriculas_ano_anterior_proxy
2024,0103606,BERCARIO,2023,CM CAMPOS DA PAZ,26,publica,matriculas_ano_anterior_proxy
2024,0103606,MATERNAL I,2023,CM CAMPOS DA PAZ,42,publica,matriculas_ano_anterior_proxy
2024,0103606,MATERNAL II,2023,CM CAMPOS DA PAZ,0,publica,matriculas_ano_anterior_proxy
2024,0103607,BERCARIO,2023,CM ESTÁCIO DE SÁ,48,publica,matriculas_ano_anterior_proxy
2024,0103607,MATERNAL I,2023,CM ESTÁCIO DE SÁ,21,publica,matriculas_ano_anterior_proxy
2024,0103607,MATERNAL II,2023,CM ESTÁCIO DE SÁ,23,publica,matriculas_ano_anterior_proxy
2024,0103801,BERCARIO,2023,EDI PROFESSORA SIMONE SOUSA PIMENTEL,24,publica,matriculas_ano_anterior_proxy
2024,0103801,MATERNAL I,2023,EDI PROFESSORA SIMONE SOUSA PIMENTEL,25,publica,matriculas_ano_anterior_proxy
2024,0103801,MATERNAL II,2023,EDI PROFESSORA SIMONE SOUSA PIMENTEL,0,publica,matriculas_ano_anterior_proxy
2024,0103802,BERCARIO,2023,EDI LILY MARINHO,48,publica,matriculas_ano_anterior_proxy
2024,0103802,MATERNAL I,2023,EDI LILY MARINHO,0,publica,matriculas_ano_anterior_proxy
2024,0103802,MATERNAL II,2023,EDI LILY MARINHO,36,publica,matriculas_ano_anterior_proxy
2024,0103804,BERCARIO,2023,EDI ZÉLIA GATTAI AMADO,19,publica,matriculas_ano_anterior_proxy
2024,0103804,MATERNAL I,2023,EDI ZÉLIA GATTAI AMADO,25,publica,matriculas_ano_anterior_proxy
2024,0103804,MATERNAL II,2023,EDI ZÉLIA GATTAI AMADO,0,publica,matriculas_ano_anterior_proxy
2024,0103805,BERCARIO,2023,EDI BEATRIZ VICÊNCIA BANDEIRA RYFF,12,publica,matriculas_ano_anterior_proxy
2024,0103805,MATERNAL I,2023,EDI BEATRIZ VICÊNCIA BANDEIRA RYFF,23,publica,matriculas_ano_anterior_proxy
2024,0103805,MATERNAL II,2023,EDI BEATRIZ VICÊNCIA BANDEIRA RYFF,0,publica,matriculas_ano_anterior_proxy
2024,0103806,BERCARIO,2023,EDI FUNDAÇÃO LEÃO XIII,0,publica,matriculas_ano_anterior_proxy
2024,0103806,MATERNAL I,2023,EDI FUNDAÇÃO LEÃO XIII,0,publica,matriculas_ano_anterior_proxy
2024,0103806,MATERNAL II,2023,EDI FUNDAÇÃO LEÃO XIII,0,publica,matriculas_ano_anterior_proxy
2024,0103807,BERCARIO,2023,EDI MARIA LUIZA NOBRE - TIA LUIZINHA,47,publica,matriculas_ano_anterior_proxy
2024,0103807,MATERNAL I,2023,EDI MARIA LUIZA NOBRE - TIA LUIZINHA,65,publica,matriculas_ano_anterior_proxy
2024,0103807,MATERNAL II,2023,EDI MARIA LUIZA NOBRE - TIA LUIZINHA,0,publica,matriculas_ano_anterior_proxy
2024,0107001,BERCARIO,2023,EM GONÇALVES DIAS,0,publica,matriculas_ano_anterior_proxy
2024,0107001,MATERNAL I,2023,EM GONÇALVES DIAS,0,publica,matriculas_ano_anterior_proxy
2024,0107001,MATERNAL II,2023,EM GONÇALVES DIAS,0,publica,matriculas_ano_anterior_proxy
2024,0107002,BERCARIO,2023,EM NILO PEÇANHA,0,publica,matriculas_ano_anterior_proxy
2024,0107002,MATERNAL I,2023,EM NILO PEÇANHA,0,publica,matriculas_ano_anterior_proxy
2024,0107002,MATERNAL II,2023,EM NILO PEÇANHA,0,publica,matriculas_ano_anterior_proxy
2024,0107003,BERCARIO,2023,EM PORTUGAL,0,publica,matriculas_ano_anterior_proxy
2024,0107003,MATERNAL I,2023,EM PORTUGAL,0,publica,matriculas_ano_anterior_proxy
2024,0107003,MATERNAL II,2023,EM PORTUGAL,0,publica,matriculas_ano_anterior_proxy
2024,0107004,BERCARIO,2023,EM FLORIANO PEIXOTO,0,publica,matriculas_ano_anterior_proxy
2024,0107004,MATERNAL I,2023,EM FLORIANO PEIXOTO,0,publica,matriculas_ano_anterior_proxy
2024,0107004,MATERNAL II,2023,EM FLORIANO PEIXOTO,0,publica,matriculas_ano_anterior_proxy
2024,0107005,BERCARIO,2023,EM JOÃO DE CAMARGO,0,publica,matriculas_ano_anterior_proxy
2024,0107005,MATERNAL I,2023,EM JOÃO DE CAMARGO,0,publica,matriculas_ano_anterior_proxy
2024,0107005,MATERNAL II,2023,EM JOÃO DE CAMARGO,0,publica,matriculas_ano_anterior_proxy
2024,0107006,BERCARIO,2023,EM MARECHAL TROMPOWSKY,0,publica,matriculas_ano_anterior_proxy
2024,0107006,MATERNAL I,2023,EM MARECHAL TROMPOWSKY,0,publica,matriculas_ano_anterior_proxy
2024,0107006,MATERNAL II,2023,EM MARECHAL TROMPOWSKY,0,publica,matriculas_ano_anterior_proxy
2024,0107007,BERCARIO,2023,EM HUMBERTO DE CAMPOS,0,publica,matriculas_ano_anterior_proxy
2024,0107007,MATERNAL I,2023,EM HUMBERTO DE CAMPOS,0,publica,matriculas_ano_anterior_proxy
2024,0107007,MATERNAL II,2023,EM HUMBERTO DE CAMPOS,0,publica,matriculas_ano_anterior_proxy
2024,0107008,BERCARIO,2023,EM JOSÉ MOREIRA DA SILVA,0,publica,matriculas_ano_anterior_proxy
2024,0107008,MATERNAL I,2023,EM JOSÉ MOREIRA DA SILVA,0,publica,matriculas_ano_anterior_proxy
2024,0107008,MATERNAL II,2023,EM JOSÉ MOREIRA DA SILVA,0,publica,matriculas_ano_anterior_proxy
2024,0107009,BERCARIO,2023,EM URUGUAI,0,publica,matriculas_ano_anterior_proxy
