ano,territorio,grupamento_modelo,inscritos,universo_elegivel_proxy,tendencia,tend_bercario,tend_maternal_i,tend_maternal_ii
2021,JARDIM GUANABARA,Maternal II,5,228.0,0,0,0,0
2021,JARDIM SULACAP,Bercario,39,395.0,0,0,0,0
2021,JARDIM SULACAP,Maternal I,31,201.0,0,0,0,0
2021,JARDIM SULACAP,Maternal II,31,186.0,0,0,0,0
2021,JOA,Bercario,0,9.0,0,0,0,0
2021,JOA,Maternal I,0,5.0,0,0,0,0
2021,JOA,Maternal II,0,2.0,0,0,0,0
2021,LAGOA,Bercario,1,294.0,0,0,0,0
2021,LAGOA,Maternal I,0,150.0,0,0,0,0
2021,LAGOA,Maternal II,0,193.0,0,0,0,0
2021,LAPA,Bercario,0,82.0,0,0,0,0
2021,LAPA,Maternal I,1,60.0,0,0,0,0
2021,LAPA,Maternal II,0,0.0,0,0,0,0
2021,LARANJEIRAS,Bercario,31,588.0,0,0,0,0
2021,LARANJEIRAS,Maternal I,29,388.0,0,0,0,0
2021,LARANJEIRAS,Maternal II,15,401.0,0,0,0,0
2021,LEBLON,Bercario,3,602.0,0,0,0,0
2021,LEBLON,Maternal I,9,345.0,0,0,0,0
2021,LEBLON,Maternal II,2,353.0,0,0,0,0
2021,LEME,Bercario,31,238.0,0,0,0,0
2021,LEME,Maternal I,13,119.0,0,0,0,0
2021,LEME,Maternal II,8,132.0,0,0,0,0
2021,LINS VASCONCELOS,Bercario,167,816.0,0,0,0,0
2021,LINS VASCONCELOS,Maternal I,72,469.0,0,0,0,0
2021,LINS VASCONCELOS,Maternal II,32,457.0,0,0,0,0
2021,MADUREIRA,Bercario,209,1169.0,0,0,0,0
2021,MADUREIRA,Maternal I,121,588.0,0,0,0,0
2021,MADUREIRA,Maternal II,113,665.0,0,0,0,0
2021,MAGALHAES BASTOS,Bercario,75,512.0,0,0,0,0
2021,MAGALHAES BASTOS,Maternal I,79,299.0,0,0,0,0
2021,MAGALHAES BASTOS,Maternal II,45,257.0,0,0,0,0
2021,MANGUEIRA,Bercario,200,505.0,0,0,0,0
2021,MANGUEIRA,Maternal I,59,306.0,0,0,0,0
2021,MANGUEIRA,Maternal II,42,322.0,0,0,0,0
2021,MANGUINHOS,Bercario,84,855.0,0,0,0,0
2021,MANGUINHOS,Maternal I,86,484.0,0,0,0,0
2021,MANGUINHOS,Maternal II,49,484.0,0,0,0,0
2021,MARACANA,Bercario,18,361.0,0,0,0,0
2021,MARACANA,Maternal I,11,231.0,0,0,0,0
2021,MARACANA,Maternal II,23,204.0,0,0,0,0
2021,MARECHAL HERMES,Bercario,98,856.0,0,0,0,0
2021,MARECHAL HERMES,Maternal I,152,480.0,0,0,0,0
2021,MARECHAL HERMES,Maternal II,128,524.0,0,0,0,0
2021,MARIA GRACA,Bercario,5,105.0,0,0,0,0
2021,MARIA GRACA,Maternal I,8,82.0,0,0,0,0
2021,MARIA GRACA,Maternal II,4,99.0,0,0,0,0
2021,MEIER,Bercario,44,602.0,0,0,0,0
2021,MEIER,Maternal I,33,325.0,0,0,0,0
2021,MEIER,Maternal II,25,395.0,0,0,0,0
2021,MONERO,Bercario,5,57.0,0,0,0,0
2021,MONERO,Maternal I,4,35.0,0,0,0,0
2021,MONERO,Maternal II,0,26.0,0,0,0,0
2021,OLARIA,Bercario,177,1005.0,0,0,0,0
2021,OLARIA,Maternal I,110,599.0,0,0,0,0
2021,OLARIA,Maternal II,66,630.0,0,0,0,0
2021,OSWALDO CRUZ,Bercario,47,574.0,0,0,0,0
2021,OSWALDO CRUZ,Maternal I,90,358.0,0,0,0,0
2021,OSWALDO CRUZ,Maternal II,116,369.0,0,0,0,0
2021,PACIENCIA,Bercario,630,2823.0,0,0,0,0
2021,PACIENCIA,Maternal I,658,1617.0,0,0,0,0
2021,PACIENCIA,Maternal II,338,1594.0,0,0,0,0
2021,PADRE MIGUEL,Bercario,183,1406.0,0,0,0,0
2021,PADRE MIGUEL,Maternal I,191,861.0,0,0,0,0
2021,PADRE MIGUEL,Maternal II,131,757.0,0,0,0,0
2021,PAQUETA,Bercario,21,81.0,0,0,0,0
2021,PAQUETA,Maternal I,8,38.0,0,0,0,0
2021,PAQUETA,Maternal II,4,41.0,0,0,0,0
2021,PARADA LUCAS,Bercario,89,598.0,0,0,0,0
2021,PARADA LUCAS,Maternal I,46,351.0,0,0,0,0
2021,PARADA LUCAS,Maternal II,46,316.0,0,0,0,0
2021,PARQUE ANCHIETA,Bercario,42,377.0,0,0,0,0
2021,PARQUE ANCHIETA,Maternal I,53,211.0,0,0,0,0
2021,PARQUE ANCHIETA,Maternal II,59,237.0,0,0,0,0
2021,PARQUE COLUMBIA,Bercario,16,98.0,0,0,0,0
2021,PARQUE COLUMBIA,Maternal I,30,63.0,0,0,0,0
2021,PARQUE COLUMBIA,Maternal II,7,54.0,0,0,0,0
2021,PAVUNA,Bercario,419,2017.0,0,0,0,0
2021,PAVUNA,Maternal I,336,1117.0,0,0,0,0
2021,PAVUNA,Maternal II,240,1305.0,0,0,0,0
2021,PECHINCHA,Bercario,55,849.0,0,0,0,0
2021,PECHINCHA,Maternal I,49,451.0,0,0,0,0
2021,PECHINCHA,Maternal II,50,493.0,0,0,0,0
2021,PEDRA GUARATIBA,Bercario,71,1017.0,0,0,0,0
2021,PEDRA GUARATIBA,Maternal I,74,564.0,0,0,0,0
2021,PEDRA GUARATIBA,Maternal II,68,424.0,0,0,0,0
2021,PENHA,Bercario,249,1733.0,0,0,0,0
2021,PENHA,Maternal I,129,840.0,0,0,0,0
2021,PENHA,Maternal II,93,903.0,0,0,0,0
2021,PENHA CIRCULAR,Bercario,121,792.0,0,0,0,0
2021,PENHA CIRCULAR,Maternal I,85,543.0,0,0,0,0
2021,PENHA CIRCULAR,Maternal II,54,570.0,0,0,0,0
2021,PIEDADE,Bercario,102,858.0,0,0,0,0
2021,PIEDADE,Maternal I,92,475.0,0,0,0,0
2021,PIEDADE,Maternal II,97,537.0,0,0,0,0
2021,PILARES,Bercario,100,569.0,0,0,0,0
2021,PILARES,Maternal I,67,307.0,0,0,0,0
2021,PILARES,Maternal II,45,311.0,0,0,0,0
2021,PITANGUEIRAS,Bercario,11,177.0,0,0,0,0
2021,PITANGUEIRAS,Maternal I,7,85.0,0,0,0,0
2021,PITANGUEIRAS,Maternal II,13,140.0,0,0,0,0
2021,PORTUGUESA,Bercario,60,323.0,0,0,0,0
