ano,territorio,grupamento_modelo,inscritos,universo_elegivel_proxy,tendencia,tend_bercario,tend_maternal_i,tend_maternal_ii,ano_caged_lag1,caged_taxa_lag1,caged_estoque_dez_lag1,previsto,taxa_anterior,prev_persistencia,modelo
2026,CASCADURA,Maternal II,0,304.0,5,0,0,5,2025,0.019417862207853187,2125526,65.00342200440895,0.22448979591836735,68.24489795918367,PPML-FE base replicado
2026,CATETE,Bercario,0,309.0,5,5,0,0,2025,0.019417862207853187,2125526,52.322338069701225,0.15963855421686746,49.32831325301204,PPML-FE base replicado
2026,CATETE,Maternal I,0,169.0,5,0,5,0,2025,0.019417862207853187,2125526,43.049473091048746,0.19540229885057472,33.02298850574713,PPML-FE base replicado
2026,CATETE,Maternal II,0,174.0,5,0,0,5,2025,0.019417862207853187,2125526,21.522333425687336,0.1375,23.925,PPML-FE base replicado
2026,CATUMBI,Bercario,0,270.0,5,5,0,0,2025,0.019417862207853187,2125526,107.89005807086936,0.46037735849056605,124.30188679245283,PPML-FE base replicado
2026,CATUMBI,Maternal I,0,127.0,5,0,5,0,2025,0.019417862207853187,2125526,76.3438145936063,0.33783783783783783,42.9054054054054,PPML-FE base replicado
2026,CATUMBI,Maternal II,0,148.0,5,0,0,5,2025,0.019417862207853187,2125526,43.20070377492429,0.13259668508287292,19.624309392265193,PPML-FE base replicado
2026,CAVALCANTE,Bercario,0,286.0,5,5,0,0,2025,0.019417862207853187,2125526,90.28316301982514,0.25675675675675674,73.43243243243244,PPML-FE base replicado
2026,CAVALCANTE,Maternal I,0,153.0,5,0,5,0,2025,0.019417862207853187,2125526,72.65820023858673,0.4394904458598726,67.24203821656052,PPML-FE base replicado
2026,CAVALCANTE,Maternal II,0,157.0,5,0,0,5,2025,0.019417862207853187,2125526,36.20360592874766,0.24539877300613497,38.52760736196319,PPML-FE base replicado
2026,CENTRO,Bercario,0,365.0,5,5,0,0,2025,0.019417862207853187,2125526,128.61432742182706,0.328,119.72,PPML-FE base replicado
2026,CENTRO,Maternal I,0,199.0,5,0,5,0,2025,0.019417862207853187,2125526,105.48775151232708,0.4074074074074074,81.07407407407408,PPML-FE base replicado
2026,CENTRO,Maternal II,0,243.0,5,0,0,5,2025,0.019417862207853187,2125526,62.54811182047714,0.19123505976095617,46.47011952191235,PPML-FE base replicado
2026,CIDADE DEUS,Bercario,0,1031.0,5,5,0,0,2025,0.019417862207853187,2125526,418.9318041394627,0.41379310344827586,426.6206896551724,PPML-FE base replicado
2026,CIDADE DEUS,Maternal I,0,559.0,5,0,5,0,2025,0.019417862207853187,2125526,341.7031222492393,0.7123519458544839,398.2047377326565,PPML-FE base replicado
2026,CIDADE DEUS,Maternal II,0,591.0,5,0,0,5,2025,0.019417862207853187,2125526,175.42181149410044,0.13935681470137826,82.35987748851456,PPML-FE base replicado
2026,CIDADE NOVA,Bercario,0,80.0,5,5,0,0,2025,0.019417862207853187,2125526,24.768606181288845,0.3125,25.0,PPML-FE base replicado
2026,CIDADE NOVA,Maternal I,0,41.0,5,0,5,0,2025,0.019417862207853187,2125526,19.0962420196039,0.45652173913043476,18.717391304347824,PPML-FE base replicado
2026,CIDADE NOVA,Maternal II,0,46.0,5,0,0,5,2025,0.019417862207853187,2125526,10.403533176164895,0.1,4.6000000000000005,PPML-FE base replicado
2026,CIDADE UNIVERSITARIA,Bercario,0,25.0,5,5,0,0,2025,0.019417862207853187,2125526,4.967664972333299,0.25,6.25,PPML-FE base replicado
2026,CIDADE UNIVERSITARIA,Maternal I,0,13.0,5,0,5,0,2025,0.019417862207853187,2125526,3.8860475888154546,0.1,1.3,PPML-FE base replicado
2026,CIDADE UNIVERSITARIA,Maternal II,0,10.0,5,0,0,5,2025,0.019417862207853187,2125526,1.451522371420213,0.0,0.0,PPML-FE base replicado
2026,COCOTA,Bercario,0,89.0,5,5,0,0,2025,0.019417862207853187,2125526,17.979721703762493,0.21052631578947367,18.736842105263158,PPML-FE base replicado
2026,COCOTA,Maternal I,0,39.0,5,0,5,0,2025,0.019417862207853187,2125526,11.852502023328196,0.38461538461538464,15.0,PPML-FE base replicado
2026,COCOTA,Maternal II,0,52.0,5,0,0,5,2025,0.019417862207853187,2125526,7.6737517614843584,0.22857142857142856,11.885714285714286,PPML-FE base replicado
2026,COELHO NETO,Bercario,0,507.0,5,5,0,0,2025,0.019417862207853187,2125526,205.22997678021608,0.31956912028725315,162.02154398563735,PPML-FE base replicado
2026,COELHO NETO,Maternal I,0,314.0,5,0,5,0,2025,0.019417862207853187,2125526,191.21191773019518,0.49295774647887325,154.7887323943662,PPML-FE base replicado
2026,COELHO NETO,Maternal II,0,284.0,5,0,0,5,2025,0.019417862207853187,2125526,83.97743791408804,0.31788079470198677,90.27814569536424,PPML-FE base replicado
2026,COLEGIO,Bercario,0,574.0,5,5,0,0,2025,0.019417862207853187,2125526,167.44270184888617,0.23450586264656617,134.60636515912898,PPML-FE base replicado
2026,COLEGIO,Maternal I,0,321.0,5,0,5,0,2025,0.019417862207853187,2125526,140.86783358382039,0.32285714285714284,103.63714285714285,PPML-FE base replicado
2026,COLEGIO,Maternal II,0,350.0,5,0,0,5,2025,0.019417862207853187,2125526,74.58196455818728,0.2937853107344633,102.82485875706215,PPML-FE base replicado
2026,COMPLEXO ALEMAO,Bercario,0,850.0,5,5,0,0,2025,0.019417862207853187,2125526,38.23583092728292,0.0,0.0,PPML-FE base replicado
2026,COMPLEXO ALEMAO,Maternal I,0,410.0,5,0,5,0,2025,0.019417862207853187,2125526,27.745204872320972,0.004310344827586207,1.7672413793103448,PPML-FE base replicado
2026,COMPLEXO ALEMAO,Maternal II,0,232.0,5,0,0,5,2025,0.019417862207853187,2125526,7.6234408598376335,0.0,0.0,PPML-FE base replicado
2026,COMPLEXO MARE,Bercario,0,2988.0,5,5,0,0,2025,0.019417862207853187,2125526,775.0203077242047,0.18424479166666666,550.5234375,PPML-FE base replicado
2026,COMPLEXO MARE,Maternal I,0,1576.0,5,0,5,0,2025,0.019417862207853187,2125526,614.9519384999303,0.398838334946757,628.5692158760891,PPML-FE base replicado
2026,COMPLEXO MARE,Maternal II,0,1033.0,5,0,0,5,2025,0.019417862207853187,2125526,195.72407739981233,0.20014450867052022,206.74927745664738,PPML-FE base replicado
2026,COPACABANA,Bercario,0,1478.0,5,5,0,0,2025,0.019417862207853187,2125526,245.37679800416177,0.1707936507936508,252.43301587301588,PPML-FE base replicado
2026,COPACABANA,Maternal I,0,866.0,5,0,5,0,2025,0.019417862207853187,2125526,216.2865062261067,0.2505720823798627,216.9954233409611,PPML-FE base replicado
2026,COPACABANA,Maternal II,0,874.0,5,0,0,5,2025,0.019417862207853187,2125526,105.9941599652952,0.10982658959537572,95.98843930635839,PPML-FE base replicado
2026,CORDOVIL,Bercario,0,638.0,5,5,0,0,2025,0.019417862207853187,2125526,152.11738338822238,0.2823871906841339,180.16302765647745,PPML-FE base replicado
2026,CORDOVIL,Maternal I,0,365.0,5,0,5,0,2025,0.019417862207853187,2125526,130.9192487605815,0.3089430894308943,112.76422764227642,PPML-FE base replicado
2026,CORDOVIL,Maternal II,0,369.0,5,0,0,5,2025,0.019417862207853187,2125526,64.26817648586469,0.23459715639810427,86.56635071090048,PPML-FE base replicado
2026,COSME VELHO,Bercario,0,108.0,5,5,0,0,2025,0.019417862207853187,2125526,24.62400797021554,0.2604166666666667,28.125000000000004,PPML-FE base replicado
2026,COSME VELHO,Maternal I,0,51.0,5,0,5,0,2025,0.019417862207853187,2125526,17.492731742477037,0.328125,16.734375,PPML-FE base replicado
2026,COSME VELHO,Maternal II,0,64.0,5,0,0,5,2025,0.019417862207853187,2125526,10.659244039905065,0.05333333333333334,3.4133333333333336,PPML-FE base replicado
2026,COSMOS,Bercario,0,1965.0,5,5,0,0,2025,0.019417862207853187,2125526,660.6039552007127,0.27704997573993206,544.4032023289665,PPML-FE base replicado
2026,COSMOS,Maternal I,0,1049.0,5,0,5,0,2025,0.019417862207853187,2125526,530.5258813628882,0.4341736694677871,455.4481792717087,PPML-FE base replicado
2026,COSMOS,Maternal II,0,1071.0,5,0,0,5,2025,0.019417862207853187,2125526,263.0144017020226,0.23380035026269702,250.4001751313485,PPML-FE base replicado
2026,COSTA BARROS,Bercario,0,776.0,5,5,0,0,2025,0.019417862207853187,2125526,316.5368136211372,0.41448189762796506,321.63795255930086,PPML-FE base replicado
2026,COSTA BARROS,Maternal I,0,419.0,5,0,5,0,2025,0.019417862207853187,2125526,257.11593923576334,0.3611111111111111,151.30555555555554,PPML-FE base replicado
2026,COSTA BARROS,Maternal II,0,540.0,5,0,0,5,2025,0.019417862207853187,2125526,160.90432160500168,0.2174721189591078,117.43494423791822,PPML-FE base replicado
2026,CURICICA,Bercario,0,700.0,5,5,0,0,2025,0.019417862207853187,2125526,201.30185984759711,0.30200501253132833,211.40350877192984,PPML-FE base replicado
