codigo_unidade,ano_previsao,demanda_prevista_inscritos,demanda_prevista_efetiva,demanda_efetiva_p025,demanda_efetiva_p975,capacidade_ano_anterior
10076,2026,,70.176258412955,,,
4020,2026,,70.10243605297813,,,
716809,2026,,70.06798909904157,,,
3038,2026,,70.05478803470679,,,
716801,2026,,70.01712588514752,,,
625801,2026,,69.93219154750673,,,
313612,2026,,69.42792083232602,,,
817601,2026,,68.12117231106562,,,
734805,2026,,67.98117784521943,,,
411801,2026,,67.93376380341331,,,
208603,2026,,67.78159796209039,,,
716802,2026,,67.72301495544599,,,
10081,2026,,67.6867596294251,,,
123601,2026,,67.6819054443522,,,
10045,2026,,67.59651880369705,,,
312806,2026,,66.90665620403422,,,
1007,2026,,66.76820103712853,,,
734602,2026,,66.46814570905114,,,
515807,2026,,66.16177650508757,,,
208604,2026,,66.15851748552697,,,
918830,2026,,66.04835817800297,,,
3019,2026,,66.01023495661107,,,
3015,2026,,65.8490185499263,,,
8023,2026,,65.82819386469113,,,
3036,2026,,65.57590489992383,,,
817617,2026,,65.45180624635914,,,
7008,2026,,65.30753260561325,,,
107605,2026,,65.25089340088854,,,
918805,2026,,64.95594904552247,,,
313608,2026,,64.84367717549603,,,
734601,2026,,64.71880102918819,,,
4008,2026,,64.63096843859407,,,
204805,2026,,64.11167725967154,,,
313801,2026,,64.0007884264694,,,
102602,2026,,63.83552610579231,,,
817614,2026,,63.68104434338037,,,
10058,2026,,63.475265808168594,,,
312812,2026,,63.4566692369766,,,
817814,2026,,63.00806759778213,,,
10034,2026,,62.8962994287574,,,
313607,2026,,62.59564920504656,,,
410805,2026,,62.40475779550908,,,
2025,2026,,62.33635765708739,,,
430805,2026,,62.268756777025175,,,
10044,2026,,62.19796302398027,,,
2047,2026,,62.02544391502733,,,
2049,2026,,61.90760497303532,,,
312601,2026,,61.79820771984297,,,
431602,2026,,61.77474905739767,,,
3003,2026,,61.67719475731779,,,
3039,2026,,61.506828143518334,,,
622602,2026,,61.41174129106634,,,
10059,2026,,61.38690950941603,,,
209608,2026,,61.33747619581815,,,
7045,2026,,61.15716064612411,,,
103607,2026,,60.75135913225636,,,
312603,2026,,60.74028548411451,,,
8019,2026,,60.30092504062284,,,
1019607,2026,,60.10040180614802,,,
918839,2026,,59.99243789424891,,,
2040,2026,,59.95058845693917,,,
101802,2026,,59.88148308591632,,,
10067,2026,,59.46601651172609,,,
313603,2026,,59.11587452572674,,,
515606,2026,,59.11136736064597,,,
9011,2026,,58.43040974779604,,,
9004,2026,,58.37964446871614,,,
4007,2026,,58.24243582114844,,,
4009,2026,,58.118188687975305,,,
208601,2026,,57.97618185777798,,,
101601,2026,,57.31937962384286,,,
515607,2026,,57.2230046012337,,,
625609,2026,,56.93298434031252,,,
734603,2026,,56.68299881869959,,,
9019,2026,,56.606617369859286,,,
625605,2026,,56.575390881413526,,,
4049,2026,,56.53083241405295,,,
734803,2026,,56.26669292782319,,,
431603,2026,,56.22210831188681,,,
734801,2026,,56.219046740006895,,,
4002,2026,,56.1791260281581,,,
11001,2026,,56.176139527727294,,,
312804,2026,,56.085025594657566,,,
313805,2026,,56.05512290167911,,,
514609,2026,,55.84280559028743,,,
918832,2026,,55.79673242297724,,,
410802,2026,,55.4322680142015,,,
328801,2026,,55.28318595809399,,,
817806,2026,,55.16498842282705,,,
329801,2026,,55.02578644079311,,,
1026810,2026,,54.94574017009849,,,
