ano,territorio,grupamento_modelo,inscritos,universo_elegivel_proxy,tendencia,tend_bercario,tend_maternal_i,tend_maternal_ii,prev_modelo,p10,p90,p025,p975,alpha_nb,taxa_anterior,prev_persistencia,ano_treino_final,ano_teste
2025,ENCANTADO,Maternal I,39,91.0,4,0,4,0,26.63499278511481,17.0,37.0,13.0,44.0,0.05349348228090407,0.53125,48.34375,2024,2025
2025,ENCANTADO,Maternal II,19,96.0,4,0,0,4,14.806270821188015,9.0,22.0,6.0,26.0,0.05349348228090407,0.2037037037037037,19.555555555555554,2024,2025
2025,ENGENHEIRO LEAL,Bercario,8,116.0,4,4,0,0,27.170518703137503,17.0,38.0,13.0,45.0,0.05349348228090407,0.125,14.5,2024,2025
2025,ENGENHEIRO LEAL,Maternal I,27,66.0,4,0,4,0,23.650353007902698,15.0,33.0,11.0,40.0,0.05349348228090407,0.3442622950819672,22.721311475409834,2024,2025
2025,ENGENHEIRO LEAL,Maternal II,25,61.0,4,0,0,4,11.518257717608304,6.0,17.0,4.0,21.0,0.05349348228090407,0.4533333333333333,27.653333333333332,2024,2025
2025,ENGENHO DENTRO,Bercario,161,707.0,4,4,0,0,129.7809836280859,91.0,172.0,74.0,199.0,0.05349348228090407,0.25296442687747034,178.84584980237153,2024,2025
2025,ENGENHO DENTRO,Maternal I,152,393.0,4,0,4,0,110.36667267198133,77.0,147.0,63.0,170.0,0.05349348228090407,0.35377358490566035,139.0330188679245,2024,2025
2025,ENGENHO DENTRO,Maternal II,71,424.0,4,0,0,4,62.74433495828953,43.0,85.0,34.0,99.0,0.05349348228090407,0.19433198380566802,82.39676113360323,2024,2025
2025,ENGENHO NOVO,Bercario,232,756.0,4,4,0,0,183.2409954700974,129.0,242.0,106.0,280.0,0.05349348228090407,0.3598130841121495,272.01869158878503,2024,2025
2025,ENGENHO NOVO,Maternal I,124,428.0,4,0,4,0,158.70783512362001,111.0,210.0,91.0,243.0,0.05349348228090407,0.3646788990825688,156.08256880733944,2024,2025
2025,ENGENHO NOVO,Maternal II,52,436.0,4,0,0,4,85.19308643955962,59.0,114.0,48.0,132.0,0.05349348228090407,0.15301724137931033,66.7155172413793,2024,2025
2025,ENGENHO RAINHA,Bercario,111,476.0,4,4,0,0,115.28161256194387,80.0,153.0,66.0,178.0,0.05349348228090407,0.2403846153846154,114.42307692307692,2024,2025
2025,ENGENHO RAINHA,Maternal I,98,272.0,4,0,4,0,100.78032295903004,70.0,134.0,57.0,156.0,0.05349348228090407,0.4426877470355731,120.41106719367589,2024,2025
2025,ENGENHO RAINHA,Maternal II,43,253.0,4,0,0,4,49.395868693001916,33.0,67.0,26.0,79.0,0.05349348228090407,0.3146067415730337,79.59550561797752,2024,2025
2025,ESTACIO,Bercario,109,350.0,4,4,0,0,118.42057405777874,82.0,157.0,67.0,182.0,0.05349348228090407,0.39660056657223797,138.81019830028328,2024,2025
2025,ESTACIO,Maternal I,62,178.0,4,0,4,0,92.13674631754769,64.0,123.0,52.0,143.0,0.05349348228090407,0.38071065989847713,67.76649746192894,2024,2025
2025,ESTACIO,Maternal II,35,197.0,4,0,0,4,53.73315731802361,36.0,73.0,29.0,85.0,0.05349348228090407,0.11650485436893204,22.951456310679614,2024,2025
2025,FLAMENGO,Bercario,41,516.0,4,4,0,0,50.9297114791993,34.0,69.0,27.0,81.0,0.05349348228090407,0.10088495575221239,52.05663716814159,2024,2025
