unidade,nome_unidade_norm,demanda_2026_ppml,demanda_2026_persistencia,demanda_2026_ppml_historico,limite_p025_condicional,limite_p975_condicional,codigo_unidade,interesse_bruto_2025,status_em_2025,tipo_oferta,tipo_unidade,cre,microarea,bairro,latitude,longitude,matriculas_total,fila_total,prev_ppml_base_2025,prev_persistencia_2025,prev_ppml_cag_fem_2025,tem_contexto_creche_2025
03004,CP CENTRO COMUNITARIO NOSSA SENHORA APARECIDA - CRECHE,34.94026706286162,30.0492388002327,21.43066824029401,18.78139461112831,55.09648996315252,3004,85,continuante,Parceira,Creche Parceira,3.0,3.4,CACHAMBI,-22.89434309,-43.27341272,48.0,0.0,99.1495373366461,118.59349589758888,95.4853726058628,True
1026602,CM NOSSA SENHORA DA GLORIA,34.78790661773944,33.85467532746901,60.070272950549835,20.574063770358872,52.55605206781116,1026602,118,continuante,Pública,Creche,10.0,10.27,Pedra de Guaratiba,-22.999508,-43.612145,60.0,29.0,155.48611778985082,146.17337866447,139.2850746398129,True
05007,CP CENTRO COMUNITARIO FLOR DO AMANHA,34.727782788030964,33.19058190173223,9.189820565585444,19.542284356932022,53.794671546471754,5007,75,continuante,Parceira,Creche Parceira,5.0,5.14,MARECHAL HERMES,-22.84823636,-43.36162723,55.0,5.0,88.5557326289228,105.722883939711,85.27863665409059,True
03041,CP CENTRO DE DESENVOLVIMENTO INFANTIL ESPELHO D'AGUA,34.704521042622524,38.28338960336154,12.077642041857468,19.16185754861892,54.1582554719457,3041,124,continuante,Parceira,Creche Parceira,3.0,3.8,PIEDADE,-22.89043602,-43.3050719,47.0,1.0,99.9067195994734,119.51282532315156,96.21488991097291,True
0208605,CM TIA MARIA,34.69156977453662,29.16535842349188,23.945942097295315,19.87295387811275,53.23617556092103,208605,30,continuante,Pública,Creche,2.0,2.13,Tijuca,-22.943486,-43.24161,55.0,0.0,56.25223220433336,52.401777257074144,50.3951339774502,True
1019803,EDI LARYSSA SILVA MARTINS,34.50366853264412,36.406780624534896,197.6665989487742,20.558983298081635,51.944747917573736,1019803,189,continuante,Pública,EDI,10.0,10.7,SANTA CRUZ,-22.907539,-43.701722,145.0,0.0,202.42304986686983,206.84912075160847,181.32938723447413,True
02015,CP CRECHE SANT ANNA,34.230260336345076,23.89606925025204,16.386650895785998,17.909494865243843,54.923461140175306,2015,127,continuante,Parceira,Creche Parceira,2.0,2.2,LARANJEIRAS,-22.93862791,-43.19266742,72.0,3.0,116.57829359327764,139.73807268553105,112.27735002899789,True
0209604,CM NOVA DIVINEIA,34.22873522793746,27.10658911903346,35.93223733585635,18.91889020049465,53.412576310958016,209604,56,continuante,Pública,Creche,2.0,2.14,Grajaú - Morro Nova Divinéia,-22.928893,-43.263875,56.0,0.0,67.34067182313174,75.38501289614175,60.32773906457388,True
02035,CP CENTRO SOCIAL E AI COMO E QUE FICA ?,34.208179533278255,37.4667150924968,17.17428410499378,19.38671895486002,52.75238788960853,2035,82,continuante,Parceira,Creche Parceira,2.0,2.6,ROCINHA,-22.99306537,-43.25349939,65.0,0.0,77.22174307072879,91.93294255627043,74.35877581246562,True
02012,CP GRUPO COMUNITARIO CRECHE ESCOLA TIA MAURA,34.07923528931112,23.907596136505102,12.460258298181452,16.514464156237462,56.27800753799253,2012,107,continuante,Parceira,Creche Parceira,2.0,2.6,SÃO CONRADO,-22.99453304,-43.27299073,68.0,11.0,83.26414955019305,99.28757796077208,80.18039850683797,True
0204601,CM TIA AMALIA,33.97200882031697,32.06481676189937,28.708556372503246,17.454874000207575,55.22403038072074,204601,58,continuante,Pública,Creche,2.0,2.2,Cosme Velho,-22.941447,-43.205546,45.0,0.0,76.67421891758237,69.86903634276553,68.68837673753876,True
0833802,EDI PROFESSORA ZENA ELIAN,33.75556427107553,28.116638942816508,111.93878486360506,19.743146234884257,51.30358522133885,833802,139,continuante,Pública,EDI,8.0,8.15,Realengo,-22.863934,-43.445244,79.0,0.0,268.0853013684291,197.65582649598144,240.1471250171804,True
0833805,EDI DEODORO,33.66654932522431,26.787634099563746,28.44414391915833,18.439600160797383,52.87802851682111,833805,89,continuante,Pública,EDI,8.0,8.14,Deodoro,-22.855758,-43.389857,42.0,0.0,159.01458494114885,102.96489566302289,142.44574091215242,True
0208607,CM DOS SONHOS,33.62533193237071,28.155074503301833,34.90838481222901,18.96424594773288,52.00723802167526,208607,57,continuante,Pública,Creche,2.0,2.12,Tijuca - Comunidade Chacrinha,-22.926104,-43.220047,54.0,0.0,74.91287187971731,61.5950715127012,67.11062888360321,True
0918834,EDI ENGENHEIRA ELAINE MONSORES PIRES,33.61219880681051,26.666629022948875,87.53122490586178,20.01106354391335,50.628344229863785,918834,127,continuante,Pública,EDI,9.0,9.6,Campo Grande,-22.887011,-43.597355,153.0,0.0,200.83470649099905,166.39862602684948,179.90660986901375,True
1026806,EDI MEDALHISTA OLIMPICO FELIPE ALMEIDA WU,33.45201611318085,30.438577638538874,70.26750610404916,19.570327096269473,50.78263784380721,1026806,253,continuante,Pública,EDI,10.0,10.24,Guaratiba,-22.983841,-43.645917,141.0,20.0,279.560267806721,248.2189449019302,250.42596172441608,True
02013,CP CENTRO DE EDUCACAO INFANTIL CRISTO REDENTOR,33.40546247058325,24.980139922726767,19.296493525240532,16.4541286948644,55.46692644119145,2013,57,continuante,Parceira,Creche Parceira,2.0,2.2,COSME VELHO,-22.93992976,-43.20541693,62.0,4.0,58.38517425341233,68.94970691720282,56.21053009607304,True
05002,CP CRECHE EFFATA,33.315262319079,29.56788619640051,23.369243759039666,19.34289774548151,50.800003297516795,5002,116,continuante,,,,,,,,,,106.72391948794755,127.7867901532159,102.78301375546197,False
0817606,CM MEIMEI,32.814121337575806,31.539497132176812,57.76092418430349,18.830607279397725,50.33322317632542,817606,117,continuante,Pública,Creche,8.0,8.15,Padre Miguel,-22.863292,-43.445078,80.0,1.0,137.14021802604515,103.88422508858558,122.8515172939006,True
0312809,EDI PROFESSORA VALERIA PEREIRA DE SOUZA PINTO,32.72085364399051,32.27624431611161,71.09763544416853,18.58205551881983,50.44620384836639,312809,161,continuante,Pública,EDI,3.0,3.21,Bonsucesso,-22.863791,-43.270311,106.0,5.0,213.36536034601204,233.50967409292693,191.1310912442287,True
10084,CP CRECHE COMUNITARIA AQUARELA DO SABER (GUARATIBA),32.642697079065236,27.31252865079712,37.01265262448942,19.333443992318912,49.29314147332127,10084,284,continuante,Parceira,Creche Parceira,10.0,10.18,GUARATIBA,-22.93971992,-43.57756788,56.0,14.0,208.5497739579808,250.9769331786183,200.88873078436032,True
03011,CP CRECHE DO CENTRO PASTORAL SOCIAL PADRE JUSTINO RUSSOLILLO,32.45208608392186,34.509880272928775,11.696177633584792,18.516826643557422,49.917235244456876,3011,44,continuante,Parceira,Creche Parceira,3.0,3.19,RAMOS,-22.85847817,-43.2759666,53.0,0.0,51.62724937515424,60.67574208713849,49.69958350027226,True
09029,CP INSTITUTO CRECHE DO PAPAI,32.42603918803875,26.20561951234376,41.27820994640757,19.16466451531185,49.02636914486097,9029,237,continuante,Parceira,Creche Parceira,9.0,9.18,CAMPO GRANDE,-22.95044,-43.56709,78.0,1.0,203.9822423344912,245.4609566252421,196.4880665467624,True
0107601,CM ADALBERTO ISMAEL DE SOUZA,32.28226676397122,24.033196144671475,46.414057565970886,18.107947099240317,50.114412342454145,107601,67,continuante,Pública,Creche,1.0,1.3,São Cristóvão,-22.906374,-43.232485,72.0,0.0,57.835800412910544,52.401777257074144,51.81363462956797,True
0622202,CIEP GENERAL AUGUSTO CESAR SANDINO,32.27031198245423,39.156524441326674,110.15312238039579,17.57984404846679,50.724417075271816,622202,179,continuante,Pública,CIEP,6.0,6.18,Anchieta,-22.835096,-43.415077,163.0,0.0,174.18827819353058,170.0759437291003,156.03775638755974,True
10062,CP CENTRO CULTURAL DE DESENVOLVIMENTO INFANTIL JOAO BATISTA,32.24897406763314,28.70985798203207,36.68054381341905,19.020460450450983,48.78568047820925,10062,79,continuante,Parceira,Creche Parceira,10.0,10.28,GUARATIBA,-22.97964,-43.66379,106.0,10.0,87.04345722640339,103.88422508858558,83.8216166963473,True
10047,CP CENTRO CULTURAL MONTESSORI - SANTA CRUZ,32.22295382622968,33.951982268006695,50.19310353633597,19.188164296868674,48.52630128333237,10047,194,continuante,Parceira,Creche Parceira,10.0,10.1,SANTA CRUZ,-22.9059,-43.7084,148.0,17.0,207.78848362516177,250.0576037530556,200.15525294921065,True
02058,CP NASCEER - NUCLEO DE ASSIST. SOCIAL CULTURAL EDUC. ECOLOGICO DA ROCINHA,31.933353064382672,42.074252100143774,17.05870003734661,17.991721267937088,49.407321658794814,2058,82,continuante,Parceira,Creche Parceira,2.0,2.8,ROCINHA,-22.98785037,-43.24865159,75.0,0.0,53.87815308838196,63.433730363826605,51.86822202624032,True
09001,CP CRECHE COMUNITARIA SANTA RITA,31.855504030627017,27.29726112460502,17.256738033656017,18.862518043120048,48.11268481316579,9001,56,continuante,Parceira,Creche Parceira,9.0,9.18,CAMPO GRANDE,-22.90951,-43.53293,35.0,0.0,106.72391948794755,127.7867901532159,102.78301375546197,True
0313809,EDI ESCULTORA LYGIA CLARK,31.738356719874147,28.522530487841824,99.23201337810735,15.677061697958374,51.79808631943434,313809,123,continuante,Pública,EDI,3.0,3.7,Água Santa,-22.90646,-43.313662,98.0,10.0,115.09570172001146,114.91617819533803,103.10487973602714,True
11007,CP CRECHE ESFERA KIDS,31.700483801628152,29.43043517791059,15.529779102694038,16.554739925970523,50.82830469518848,11007,135,continuante,Parceira,Creche Parceira,11.0,11.5,ILHA DO GOVERNADOR,-22.79792,-43.17526,77.0,5.0,128.71678575358726,154.44734349453432,123.97235935366392,True
10042,CP CICIM II,31.37869636981684,33.886088702643875,51.89635958883953,18.506950765175237,47.47743555746692,10042,179,continuante,Parceira,Creche Parceira,10.0,10.9,SEPETIBA,-22.94751,-43.67828,125.0,7.0,140.8644987316074,169.1566143035376,135.6762586257475,True
0918810,EDI DOM BOSCO,31.297744042234864,26.46757552277468,34.659777748492445,18.66264794316586,47.11085406709626,918810,145,continuante,Pública,EDI,9.0,9.9,Campo Grande,-22.889064,-43.579067,45.0,0.0,208.42358956722444,211.445767879422,186.70444163549564,True
0833808,EDI PROFESSORA VANUZIA BASTOS DA SILVA,31.0212904940976,26.039773030366362,80.44647836245522,18.129438467230724,47.168425377524834,833808,166,continuante,Pública,EDI,8.0,8.24,Realengo,-22.860859,-43.446539,61.0,0.0,223.24928229318328,154.44734349453432,199.9847311769945,True
