ano_referencia,codigo,nome,tipo_oferta,tipo_unidade,cre,microarea,endereco,bairro,latitude,longitude,matriculas_total,mat_bercario,mat_maternal_1,mat_maternal_2,turmas_total,capacidade_meta,vagas_reportadas,fila_total,fila_bercario,fila_maternal_1,fila_maternal_2,fila_por_100_matriculas,classe_pressao_fila,referencia_matriculas,demanda_prevista,gap_demanda_oferta,prioridade_modelo
2025,10064,CP CRECHE COMUNITÁRIA CORAÇÃO DE MÃE,Parceira,Creche Parceira,10.0,10.18,"RUA SOLDADO VALTER DE SOUZA, 133 B",PACIÊNCIA,-22.88824,-43.63861,145.0,25.0,70.0,50.0,0.0,150.0,1.0,30.0,24.0,3.0,3.0,20.689655172413794,Até 25 por 100 matriculados,Maio de 2025,,,
2025,4022,CP CRECHE VALE DO SOL NO GROTÃO,Parceira,Creche Parceira,4.0,4.16,"RUA IPOJUCA, 392",PENHA,-22.84533897,-43.28999995,265.0,71.0,113.0,81.0,0.0,273.0,0.0,29.0,29.0,0.0,0.0,10.943396226415095,Até 25 por 100 matriculados,Maio de 2025,,,
2025,817803,Espaço de Desenvolvimento Infantil José Ephim Mindlin,Pública,EDI,8.0,8.2,Rua Q esquina com Rua F S/N,Senador Camará,-22.869048,-43.485836,147.0,47.0,50.0,50.0,6.0,0.0,0.0,29.0,5.0,23.0,1.0,19.727891156462587,Até 25 por 100 matriculados,Consolidado público de 2025,,,
2025,330602,Creche Municipal Nova Brasília,Pública,Creche,3.0,3.21,"Rua Jehovan Costa, S/Nº - Complexo Do Alemão",Bonsucesso,-22.865662,-43.270293,143.0,50.0,48.0,45.0,6.0,0.0,0.0,29.0,28.0,0.0,1.0,20.27972027972028,Até 25 por 100 matriculados,Consolidado público de 2025,,,
2025,7001,CP CRECHE NOVO PALMARES,Parceira,Creche Parceira,7.0,7.25,"RUA IPÊ, 10",VARGEM PEQUENA,-22.98963,-43.46062,140.0,44.0,48.0,48.0,0.0,140.0,0.0,29.0,0.0,11.0,18.0,20.714285714285715,Até 25 por 100 matriculados,Maio de 2025,,,
2025,625601,Creche Municipal Os Sabidinhos,Pública,Creche,6.0,6.2,"Rua Alfonso Ortiz Tirado, s/nº Pq Colúmbia",Pavuna,-22.812409,-43.344044,106.0,23.0,43.0,40.0,5.0,0.0,0.0,29.0,29.0,0.0,0.0,27.358490566037737,25 a 75 por 100 matriculados,Consolidado público de 2025,,,
2025,1026602,Creche Municipal Nossa Senhora da Glória,Pública,Creche,10.0,10.27,"Rua Da Capelinha, 94 - Rio Piraquê",Pedra de Guaratiba,-22.999508,-43.612145,60.0,0.0,20.0,40.0,3.0,0.0,0.0,29.0,0.0,8.0,21.0,48.333333333333336,25 a 75 por 100 matriculados,Consolidado público de 2025,,,
2025,5016,CP ASSOCIAÇÃO EDUCACIONAL E CULTURAL SÃO BERNARDO - CSB,Parceira,Creche Parceira,5.0,5.1,"RUA TACARATU, 26",ROCHA MIRANDA,-22.85561968,-43.35253061,183.0,47.0,39.0,97.0,0.0,187.0,2.0,28.0,26.0,0.0,2.0,15.300546448087431,Até 25 por 100 matriculados,Maio de 2025,,,
2025,107608,Creche Municipal Samora Machel,Pública,Creche,1.0,1.2,Rua Leopoldo Bulhões 700,Benfica,-22.884162,-43.248667,54.0,0.0,26.0,28.0,2.0,0.0,0.0,28.0,0.0,7.0,21.0,51.851851851851855,25 a 75 por 100 matriculados,Consolidado público de 2025,,,
2025,1120602,Creche Municipal Cora Coralina,Pública,Creche,11.0,11.4,Av.Dos Magistérios s/n,Ilha do Governador,-22.796641,-43.190965,143.0,16.0,61.0,66.0,8.0,0.0,0.0,27.0,27.0,0.0,0.0,18.88111888111888,Até 25 por 100 matriculados,Consolidado público de 2025,,,
